ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transmiso
p90,SERC_SE,SERTP,SERTP,East_South_Central,AL,eastern,AL,USA,southeast,Southeast,PowerSouth_Energy_Coop,AL,SERTP
p91,SERC_SE,SERTP,SERTP,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Southern_Co_Services_Inc,FL_SERTP,SERTP
p92,SERC_C,SERTP,SERTP,East_South_Central,TN,eastern,TN,USA,appalachia,Southeast,Tennessee_Valley_Authority,TN,SERTP
p93,SERC_C,SERTP,SERTP,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,Tennessee_Valley_Authority,KY_SERTP,SERTP
p94,SERC_SE,SERTP,SERTP,South_Atlantic,GA,eastern,GA,USA,southeast,Southeast,Southern_Co_Services_Inc,GA,SERTP
p95,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,SC,SERTP
p96,SERC_E,SERTP,SERTP,South_Atlantic,SC,eastern,SC,USA,southeast,Southeast,South_Carolina_Electric_Gas_Co,SC,SERTP
p97,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,NC,SERTP
p98,SERC_E,SERTP,SERTP,South_Atlantic,NC,eastern,NC,USA,appalachia,Southeast,Duke_Energy_Carolinas_LLC,NC,SERTP
p99,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
p100,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
p101,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,FL_FRCC,FRCC
p102,SERC_F,FRCC,FRCC,South_Atlantic,FL,eastern,FL,USA,southeast,Florida,Seminole_Electric_Coop_Inc,FL_FRCC,FRCC
p103,MISO,MISO,MISO_Central,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,MISO,MI_MISO,MISO_Central
p104,PJM,PJM,PJM_West,East_North_Central,MI,eastern,MI,USA,lake-states,Midwest,PJM,MI_PJM,PJM
p105,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,IN,MISO_Central
p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,IN,MISO_Central
p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,IN,MISO_Central
p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,MISO,KY_MISO,MISO_Central
p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,KY_PJM,PJM
p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,KY_PJM,PJM
p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,WV,PJM
p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,WV,PJM
p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,MD,PJM
p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,MD,PJM
p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,DE,PJM
p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,NJ,PJM
p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,NY_UP,NYISO
p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,NY_NYCLI,NYISO
p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,NewEngland,ISONE,VT,ISONE
p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,NH,ISONE
p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,MA,ISONE
p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,CT,ISONE
p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,RI,ISONE
p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,ME,ISONE
p135,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,MEX,CAISO
p136,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,MEX,CAISO
p137,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
p138,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
p139,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
p140,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,CAN,CAN
p141,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,CAN,CAN
p142,nrn22,CAN,CAN,West_North_Central,SK,eastern,SK,CAN,other,CAN,CAN,CAN,CAN
p143,nrn23,CAN,CAN,West_North_Central,MB,eastern,MB,CAN,other,CAN,CAN,CAN,CAN
p144,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
p145,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
p146,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
p147,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
p148,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
p149,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
p150,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
p151,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
p152,nrn26,CAN,CAN,New_England,NB,eastern,NB,CAN,other,CAN,CAN,CAN,CAN
p153,nrn26,CAN,CAN,New_England,NS,eastern,NS,CAN,other,CAN,CAN,CAN,CAN
p154,nrn24,CAN,CAN,New_England,NL,quebec,NL,CAN,other,CAN,CAN,CAN,CAN
p155,nrn24,CAN,CAN,New_England,NFI,quebec,NFI,CAN,other,CAN,CAN,CAN,CAN
p156,nrn26,CAN,CAN,New_England,PEI,eastern,PEI,CAN,other,CAN,CAN,CAN,CAN
p157,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p158,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p159,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p160,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p161,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p162,nrn27,MEX,MEX,MEX,SIN_SON,mexico,SIN_SON,MEX,other,MEX,MEX,MEX,MEX
p163,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
p164,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
p165,nrn27,MEX,MEX,MEX,CHH,mexico,CHH,MEX,other,MEX,MEX,MEX,MEX
p166,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
p167,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
p168,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
p169,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p170,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p171,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p172,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
p173,nrn27,MEX,MEX,MEX,COA_DGO_NLE,mexico,COA_DGO_NLE,MEX,other,MEX,MEX,MEX,MEX
p174,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,MEX,MEX
p175,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p176,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,MEX,MEX
p177,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p178,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,MEX,MEX
p179,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,MEX,MEX
p180,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,MEX,MEX
p181,nrn27,MEX,MEX,MEX,SLP,mexico,SLP,MEX,other,MEX,MEX,MEX,MEX
p182,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,MEX,MEX
p183,nrn27,MEX,MEX,MEX,COL,mexico,COL,MEX,other,MEX,MEX,MEX,MEX
p184,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,MEX,MEX
p185,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,MEX,MEX
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,other,MEX,MEX,MEX,MEX
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p191,nrn27,MEX,MEX,MEX,GRO_MIC,mexico,GRO_MIC,MEX,other,MEX,MEX,MEX,MEX
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,MEX,MEX
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,MEX,MEX
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,other,MEX,MEX,MEX,MEX
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,mexico,CAM_CHP_TAB,MEX,other,MEX,MEX,MEX,MEX
p198,nrn27,MEX,MEX,MEX,YUC,mexico,YUC,MEX,other,MEX,MEX,MEX,MEX
p199,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX,MEX,MEX,MEX
p200,nrn27,MEX,MEX,MEX,ROO,mexico,ROO,MEX,other,MEX,MEX,MEX,MEX
p201,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,MEX,MEX
p202,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,MEX,MEX
p203,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,MEX,MEX
p204,nrn27,MEX,MEX,MEX,BCN,mexico,BCN,MEX,other,MEX,MEX,MEX,MEX
p205,nrn27,MEX,MEX,MEX,BCS,mexico,BCS,MEX,other,MEX,MEX,MEX,MEX
